layer,neuron,label,flips,precision,recall,F1
18,25,business,1,1.0,0.0030395136778115,0.006060606060606
18,885,business,1,1.0,0.0030395136778115,0.006060606060606
19,22,business,1,1.0,0.0030395136778115,0.006060606060606
19,90,business,1,1.0,0.0030395136778115,0.006060606060606
19,166,business,1,1.0,0.0030395136778115,0.006060606060606
19,1018,business,1,1.0,0.0030395136778115,0.006060606060606
20,216,business,1,1.0,0.0030395136778115,0.006060606060606
20,400,business,1,1.0,0.0030395136778115,0.006060606060606
20,423,business,1,1.0,0.0030395136778115,0.006060606060606
20,489,business,1,1.0,0.0030395136778115,0.006060606060606
20,569,business,1,1.0,0.0030395136778115,0.006060606060606
20,619,business,1,1.0,0.0030395136778115,0.006060606060606
20,843,business,1,1.0,0.0030395136778115,0.006060606060606
20,899,business,1,1.0,0.0030395136778115,0.006060606060606
21,19,business,1,1.0,0.0030395136778115,0.006060606060606
21,140,business,1,1.0,0.0030395136778115,0.006060606060606
21,166,business,1,1.0,0.0030395136778115,0.006060606060606
21,310,business,1,1.0,0.0030395136778115,0.006060606060606
21,313,business,1,1.0,0.0030395136778115,0.006060606060606
21,606,business,1,1.0,0.0030395136778115,0.006060606060606
21,656,business,1,1.0,0.0030395136778115,0.006060606060606
21,719,business,1,1.0,0.0030395136778115,0.006060606060606
21,753,business,1,1.0,0.0030395136778115,0.006060606060606
21,908,business,1,1.0,0.0030395136778115,0.006060606060606
21,988,business,1,1.0,0.0030395136778115,0.006060606060606
21,997,business,1,1.0,0.0030395136778115,0.006060606060606
21,1017,business,1,1.0,0.0030395136778115,0.006060606060606
22,13,business,1,1.0,0.0030395136778115,0.006060606060606
22,170,business,1,1.0,0.0030395136778115,0.006060606060606
22,302,business,1,1.0,0.0030395136778115,0.006060606060606
22,310,business,1,1.0,0.0030395136778115,0.006060606060606
22,317,business,1,1.0,0.0030395136778115,0.006060606060606
22,333,business,1,1.0,0.0030395136778115,0.006060606060606
22,334,business,1,1.0,0.0030395136778115,0.006060606060606
22,562,business,1,1.0,0.0030395136778115,0.006060606060606
22,619,business,1,1.0,0.0030395136778115,0.006060606060606
22,642,business,1,1.0,0.0030395136778115,0.006060606060606
22,1012,business,1,1.0,0.0030395136778115,0.006060606060606
22,635,business,1,1.0,0.0030395136778115,0.006060606060606
23,0,business,1,1.0,0.0030395136778115,0.006060606060606
23,38,business,1,1.0,0.0030395136778115,0.006060606060606
23,170,business,1,1.0,0.0030395136778115,0.006060606060606
23,221,business,1,1.0,0.0030395136778115,0.006060606060606
23,273,business,1,1.0,0.0030395136778115,0.006060606060606
23,409,business,1,1.0,0.0030395136778115,0.006060606060606
23,453,business,1,1.0,0.0030395136778115,0.006060606060606
23,475,business,1,1.0,0.0030395136778115,0.006060606060606
23,482,business,1,1.0,0.0030395136778115,0.006060606060606
23,543,business,1,1.0,0.0030395136778115,0.006060606060606
23,746,business,1,1.0,0.0030395136778115,0.006060606060606
23,974,business,1,1.0,0.0030395136778115,0.006060606060606
23,14,business,1,1.0,0.0030395136778115,0.006060606060606
19,658,business,1,0.5,0.0030395136778115,0.0060422960725075
19,861,business,1,0.5,0.0030395136778115,0.0060422960725075
20,670,business,1,0.5,0.0030395136778115,0.0060422960725075
20,103,business,1,0.5,0.0030395136778115,0.0060422960725075
20,184,business,1,0.5,0.0030395136778115,0.0060422960725075
20,195,business,1,0.5,0.0030395136778115,0.0060422960725075
20,222,business,1,0.5,0.0030395136778115,0.0060422960725075
20,235,business,1,0.5,0.0030395136778115,0.0060422960725075
20,528,business,1,0.5,0.0030395136778115,0.0060422960725075
21,12,business,1,0.5,0.0030395136778115,0.0060422960725075
21,96,business,1,0.5,0.0030395136778115,0.0060422960725075
21,124,business,1,0.5,0.0030395136778115,0.0060422960725075
21,170,business,1,0.5,0.0030395136778115,0.0060422960725075
21,195,business,1,0.5,0.0030395136778115,0.0060422960725075
21,200,business,1,0.5,0.0030395136778115,0.0060422960725075
21,268,business,1,0.5,0.0030395136778115,0.0060422960725075
21,350,business,1,0.5,0.0030395136778115,0.0060422960725075
21,432,business,1,0.5,0.0030395136778115,0.0060422960725075
21,479,business,1,0.5,0.0030395136778115,0.0060422960725075
21,481,business,1,0.5,0.0030395136778115,0.0060422960725075
21,614,business,1,0.5,0.0030395136778115,0.0060422960725075
21,638,business,1,0.5,0.0030395136778115,0.0060422960725075
21,648,business,1,0.5,0.0030395136778115,0.0060422960725075
21,757,business,1,0.5,0.0030395136778115,0.0060422960725075
21,769,business,1,0.5,0.0030395136778115,0.0060422960725075
21,843,business,1,0.5,0.0030395136778115,0.0060422960725075
21,975,business,1,0.5,0.0030395136778115,0.0060422960725075
21,395,business,1,0.5,0.0030395136778115,0.0060422960725075
22,44,business,1,0.5,0.0030395136778115,0.0060422960725075
22,77,business,1,0.5,0.0030395136778115,0.0060422960725075
22,124,business,1,0.5,0.0030395136778115,0.0060422960725075
22,149,business,1,0.5,0.0030395136778115,0.0060422960725075
22,152,business,1,0.5,0.0030395136778115,0.0060422960725075
22,162,business,1,0.5,0.0030395136778115,0.0060422960725075
22,182,business,1,0.5,0.0030395136778115,0.0060422960725075
22,237,business,1,0.5,0.0030395136778115,0.0060422960725075
22,249,business,1,0.5,0.0030395136778115,0.0060422960725075
22,322,business,1,0.5,0.0030395136778115,0.0060422960725075
22,443,business,1,0.5,0.0030395136778115,0.0060422960725075
22,496,business,1,0.5,0.0030395136778115,0.0060422960725075
22,540,business,1,0.5,0.0030395136778115,0.0060422960725075
22,550,business,1,0.5,0.0030395136778115,0.0060422960725075
22,648,business,1,0.5,0.0030395136778115,0.0060422960725075
22,661,business,1,0.5,0.0030395136778115,0.0060422960725075
22,736,business,1,0.5,0.0030395136778115,0.0060422960725075
22,818,business,1,0.5,0.0030395136778115,0.0060422960725075
22,845,business,1,0.5,0.0030395136778115,0.0060422960725075
22,850,business,1,0.5,0.0030395136778115,0.0060422960725075
22,851,business,1,0.5,0.0030395136778115,0.0060422960725075
22,988,business,1,0.5,0.0030395136778115,0.0060422960725075
22,910,business,1,0.5,0.0030395136778115,0.0060422960725075
23,58,business,1,0.5,0.0030395136778115,0.0060422960725075
23,116,business,1,0.5,0.0030395136778115,0.0060422960725075
23,132,business,1,0.5,0.0030395136778115,0.0060422960725075
